,Unnamed: 0,index,patch_filename,plastic
0,281,525.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0853_X2816_Y1024.JPG,1.0
1,542,377.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0828_X2560_Y2816.JPG,0.0
2,143,289.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0828_X1536_Y1792.JPG,1.0
3,107,191.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0828_X3328_Y512.JPG,1.0
4,58,83.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838_X2560_Y2816.JPG,1.0
5,643,604.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0853_X1536_Y2048.JPG,0.0
6,516,309.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0828_X1280_Y2048.JPG,0.0
7,93,135.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838_X5120_Y3328.JPG,1.0
8,583,445.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0853_X3840_Y0.JPG,0.0
9,346,716.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0853_X3328_Y3328.JPG,1.0
10,527,347.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0828_X256_Y2560.JPG,0.0
11,739,739.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0884_X3840_Y0.JPG,0.0
12,425,168.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0828_X2816_Y256.JPG,0.0
13,98,148.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0828_X3072_Y0.JPG,1.0
14,4,13.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838_X768_Y2048.JPG,1.0
15,728,715.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0853_X3072_Y3328.JPG,0.0
16,270,512.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0853_X4864_Y768.JPG,1.0
17,722,706.0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0853_X768_Y3328.JPG,0.0
