Unnamed: 0,imfilename,patch_filename,x,y,plastic
0,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X0_Y0.JPG,0,0,0.0
1,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X256_Y0.JPG,256,0,0.0
2,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X512_Y0.JPG,512,0,0.0
3,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X768_Y0.JPG,768,0,0.0
4,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X1024_Y0.JPG,1024,0,0.0
5,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X1280_Y0.JPG,1280,0,0.0
6,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X1536_Y0.JPG,1536,0,0.0
7,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X1792_Y0.JPG,1792,0,0.0
8,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X2048_Y0.JPG,2048,0,0.0
9,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X2304_Y0.JPG,2304,0,0.0
10,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X2560_Y0.JPG,2560,0,0.0
11,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X2816_Y0.JPG,2816,0,1.0
12,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X3072_Y0.JPG,3072,0,0.0
13,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X3328_Y0.JPG,3328,0,0.0
14,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X3584_Y0.JPG,3584,0,0.0
15,/home/giorgia/Desktop/MAI/Thesis/images/selected_50m/a1/DJI_0838.JPG,/home/giorgia/Desktop/MAI/Thesis/images/patches_new/a1_DJI_0838_X3840_Y0.JPG,3840,0,1.0
